model,is_control,bio_bacc,conf_bacc,ri,mari,delta,croma,croma_f0,croma_ltm10,support
Virchow2,False,0.987647,0.957647,0.806369,0.823417,0.017047,0.198527,0.128676,-0.105901,0.313922
CONCH,False,0.971127,0.955833,0.662238,0.625542,-0.036696,0.196336,0.224902,-0.201849,0.359167
GenBio-PathFM,False,0.98299,0.928382,0.842056,0.850318,0.008262,0.191429,0.091863,-0.068559,0.38299
CONCHv1.5,False,0.971275,0.914804,0.774362,0.762691,-0.011671,0.187014,0.173725,-0.144638,0.463382
H0-mini,False,0.969412,0.927108,0.741019,0.718014,-0.023004,0.166648,0.180098,-0.159871,0.387108
Virchow,False,0.98049,0.946176,0.750691,0.707922,-0.04277,0.155157,0.221471,-0.180523,0.263578
Midnight-12k,False,0.975833,0.984216,0.47797,0.407943,-0.070028,0.108118,0.354363,-0.348786,0.198284
H-optimus-1,False,0.986422,0.978284,0.663541,0.676704,0.013163,0.081823,0.219069,-0.137546,0.172206
DINOv2-B,True,0.919314,0.912157,0.560703,0.507433,-0.05327,0.049735,0.34549,-0.184003,0.679902
H-optimus-0,False,0.982304,0.966127,0.659206,0.652142,-0.007064,0.045008,0.314755,-0.154388,0.236961
UNI2-h,False,0.985931,0.986765,0.514995,0.547529,0.032534,0.044895,0.369706,-0.209069,0.129608
MUSK,False,0.9575,0.982647,0.365878,0.296582,-0.069296,0.04226,0.403088,-0.220413,0.280441
mSTAR,False,0.979265,0.984461,0.460273,0.434471,-0.025803,0.022487,0.418235,-0.17654,0.180098
Prov-GigaPath,False,0.979363,0.99098,0.375438,0.368579,-0.006859,0.008716,0.469559,-0.189746,0.144363
UNI,False,0.982451,0.998971,0.107587,0.092292,-0.015295,-0.033606,0.651324,-0.216723,0.096324
Hibou-B,False,0.972745,0.999412,0.057109,0.040512,-0.016597,-0.08888,0.73701,-0.362641,0.134265
GPFM,False,0.955098,0.999461,0.034459,0.017424,-0.017035,-0.103798,0.75299,-0.360927,0.208971
Phikon,False,0.955196,0.999902,0.009416,0.003983,-0.005433,-0.195859,0.905392,-0.475639,0.165931
Phikon-v2,False,0.954412,0.999608,0.018882,0.007588,-0.011294,-0.208367,0.931912,-0.495715,0.169412
Prost40M,False,0.925882,0.999559,0.014715,0.002392,-0.012323,-0.318259,0.922255,-0.640159,0.27152
Hibou-L,False,0.970735,0.999706,0.012811,0.001322,-0.011489,-0.442615,0.992696,-0.658709,0.120588
