model,is_control,bio_bacc,conf_bacc,ri,mari,delta,croma,croma_f0,croma_ltm10,support
Midnight-12k,False,0.881597,0.558854,0.898354,0.935748,0.037395,0.39625,0.140104,-0.209537,0.994271
Mascaret,False,0.875868,0.433854,0.908155,0.931885,0.02373,0.270097,0.11875,-0.108882,0.999306
RudolfV 2-S,False,0.849306,0.542188,0.820608,0.844074,0.023467,0.192036,0.18941,-0.162947,1.0
RudolfV 2-B,False,0.866319,0.565278,0.822294,0.84182,0.019526,0.168734,0.188021,-0.136771,0.999826
RudolfV 2,False,0.875521,0.561979,0.833036,0.849315,0.016279,0.168454,0.176562,-0.124499,0.999826
GenBio-PathFM,False,0.851389,0.695486,0.756509,0.780003,0.023494,0.155303,0.242014,-0.193056,0.998785
CONCHv1.5,False,0.811285,0.492014,0.827582,0.851207,0.023625,0.153,0.193056,-0.130181,0.999826
CONCH,False,0.790278,0.487326,0.800858,0.824783,0.023926,0.146449,0.215799,-0.152306,1.0
Virchow2,False,0.824653,0.593576,0.770536,0.795338,0.024802,0.127733,0.23941,-0.16983,1.0
H0-mini,False,0.820312,0.617361,0.737111,0.754432,0.017321,0.121174,0.256597,-0.187502,0.999132
Virchow,False,0.78941,0.655903,0.697302,0.706189,0.008888,0.091945,0.301042,-0.18028,1.0
H-optimus-1,False,0.877951,0.675868,0.77462,0.786498,0.011878,0.087942,0.220312,-0.102952,0.99809
Phaet,False,0.786111,0.568924,0.760001,0.767009,0.007008,0.081053,0.253819,-0.109854,1.0
UNI2-h,False,0.847049,0.736979,0.711347,0.724831,0.013484,0.074676,0.264583,-0.122791,0.992882
mSTAR,False,0.816667,0.689583,0.695631,0.703108,0.007477,0.059359,0.29809,-0.123725,0.999306
H-optimus-0,False,0.84566,0.69184,0.70695,0.710885,0.003936,0.054147,0.286979,-0.111252,0.999132
MUSK,False,0.723785,0.588542,0.673741,0.679846,0.006104,0.051041,0.331944,-0.139797,1.0
Prov-GigaPath,False,0.83125,0.671528,0.683246,0.678742,-0.004504,0.050971,0.307812,-0.150908,0.998611
UNI,False,0.807118,0.712326,0.672584,0.677763,0.005179,0.047437,0.319618,-0.120443,0.999826
Hibou-L,False,0.759028,0.736979,0.577454,0.540879,-0.036574,0.038857,0.404688,-0.252461,0.996875
GPFM,False,0.759375,0.724653,0.611614,0.603946,-0.007668,0.037264,0.386632,-0.153427,0.999653
Phikon,False,0.792361,0.788021,0.577182,0.576749,-0.000433,0.036341,0.396181,-0.199564,0.992014
Hibou-B,False,0.768056,0.722396,0.600351,0.590499,-0.009852,0.036312,0.386979,-0.176935,0.999132
Phikon-v2,False,0.789757,0.782118,0.550325,0.54442,-0.005905,0.028642,0.409028,-0.187347,0.993576
DINOv2-B,True,0.607465,0.579514,0.540384,0.512574,-0.02781,0.006134,0.468403,-0.12165,1.0
Prost40M,False,0.635243,0.718403,0.464189,0.459252,-0.004937,-0.010431,0.527778,-0.249573,1.0
