model,is_control,bio_bacc,conf_bacc,ri,mari,delta,croma,croma_f0,croma_ltm10,support
Midnight-12k,False,0.976222,0.728,0.942786,0.941016,-0.00177,0.584276,0.051111,-0.082797,0.989778
Mascaret,False,0.977222,0.444778,0.971617,0.972781,0.001164,0.507294,0.029778,0.009418,1.0
RudolfV 2-S,False,0.983778,0.599222,0.967285,0.974762,0.007477,0.485488,0.031889,-0.002917,0.998111
CONCH,False,0.972556,0.654444,0.951437,0.957004,0.005567,0.439051,0.045111,-0.041023,0.997889
RudolfV 2,False,0.985556,0.636778,0.965554,0.968513,0.002959,0.41209,0.031556,-0.010655,0.993667
RudolfV 2-B,False,0.984333,0.664111,0.959858,0.968499,0.008641,0.407032,0.036111,-0.02373,0.989556
CONCHv1.5,False,0.972778,0.632889,0.951899,0.964242,0.012344,0.391815,0.042778,-0.028501,0.998778
GenBio-PathFM,False,0.980556,0.597667,0.960139,0.964428,0.004289,0.390048,0.038444,-0.021756,0.998778
H0-mini,False,0.967444,0.642444,0.934874,0.946003,0.011129,0.379595,0.057556,-0.07355,0.996556
Virchow,False,0.969667,0.702667,0.934986,0.942597,0.007612,0.370721,0.052889,-0.054748,0.996111
Virchow2,False,0.978,0.613333,0.954254,0.956686,0.002433,0.350531,0.04,-0.036617,0.996
MUSK,False,0.968667,0.738667,0.923673,0.931254,0.007582,0.293161,0.063111,-0.066361,0.991667
H-optimus-1,False,0.976778,0.680444,0.940142,0.948548,0.008406,0.260034,0.049333,-0.042204,0.991333
Phaet,False,0.966667,0.619222,0.935084,0.945909,0.010824,0.249229,0.049778,-0.030056,1.0
GPFM,False,0.969444,0.841222,0.883207,0.901632,0.018424,0.24064,0.095,-0.100249,0.975778
H-optimus-0,False,0.971333,0.731111,0.911377,0.918791,0.007414,0.231761,0.075889,-0.079889,0.985333
UNI2-h,False,0.976,0.766889,0.915554,0.927228,0.011674,0.22095,0.063778,-0.063268,0.976778
mSTAR,False,0.969889,0.818444,0.881222,0.897802,0.016581,0.186906,0.087,-0.088663,0.976667
DINOv2-B,True,0.904889,0.535333,0.875539,0.86736,-0.008179,0.17537,0.099,-0.06865,1.0
Phikon,False,0.961556,0.897556,0.771945,0.781746,0.009801,0.174624,0.178556,-0.188369,0.814556
UNI,False,0.973,0.835444,0.879897,0.891313,0.011416,0.174556,0.085889,-0.080223,0.953
Hibou-B,False,0.966556,0.916,0.774413,0.774667,0.000254,0.134126,0.187889,-0.167094,0.857111
Prov-GigaPath,False,0.962111,0.929111,0.707212,0.746272,0.039061,0.131674,0.236444,-0.160433,0.790778
Prost40M,False,0.911,0.837667,0.701276,0.720617,0.019341,0.127058,0.277333,-0.235808,0.962111
Phikon-v2,False,0.956222,0.896222,0.741054,0.7463,0.005246,0.122124,0.225111,-0.174779,0.832889
Hibou-L,False,0.954889,0.960222,0.62378,0.585862,-0.037918,0.111268,0.315111,-0.290808,0.669556
