model,panel,panel_order,method,params,n_wsis,n_tiles,wsis_source,dim,regime,corpus,tcga_exposed,disclosed,disclosed_sources,source_marker,corpus_domains,prov_group,prov_order,prov_cell_override,prov_cell_markers,cite,parent_model,variant_role,adaptation,family,family_order,plot_order,training_run,shared_corpus,institutional_domains,published_name
Virchow2,tile,1,DINOv2,$632$M,$3.1$M,$1.9$B,card,$2560$,vision-only,MSKCC (prop.),False,no,MSKCC,,,"Virchow, Virchow2",15,,,zimmermann2024,,,,paige,1,1,,,,
Virchow,tile,2,DINOv2,$632$M,$1.5$M,$2$B,card,$2560$,vision-only,MSKCC (prop.),False,no,MSKCC,,,"Virchow, Virchow2",15,,,Vorontsov2024-te,,,,paige,0,2,,,,
UNI2-h,tile,3,DINOv2,$681$M,${>}350$k,${>}200$M,card,$1536$,vision-only,MGB (prop.),False,no,Mass General Brigham,,,"UNI, UNI2-h",14,,,uni2h,,,,uni,1,4,,,,
UNI,tile,4,DINOv2,$307$M,$100$k,$100$M,card,$1024$,vision-only,MGB (prop.),False,no,Mass General Brigham,,,"UNI, UNI2-h",14,,,Chen2024-dy,,,,uni,0,5,,,,
CONCHv1.5,tile,5,vision--language,$307$M,$100$k,$100$M,card,$768$,VLFM,PMC-OA + educational,False,yes,none (PMC-OA + educational),ddag,,CONCHv1.5,5,,,titan,,,,conch,1,6,,,,
CONCH,tile,6,vision--language,$86$M,$21.4$k,$16$M,card,$512$,VLFM,PMC-OA + educational,False,yes,none (PMC-OA + educational),,,CONCH,4,,,conch,,,,conch,0,7,,,,
H-optimus-1,tile,7,n/d,$1.1$B,${>}1$M,n/d,card,$1536$,vision-only,Bioptimus (prop.),False,no,Bioptimus,,,H-optimus-0/1,16,,,hoptimus1,,,,hoptimus,0,11,,,,
H-optimus-0,tile,8,DINOv2,$1.1$B,$500$K,$273$M,card,$1536$,vision-only,Bioptimus (prop.),False,no,Bioptimus,,,H-optimus-0/1,16,,,hoptimus0,,,,hoptimus,1,12,,,,
H0-mini,tile,9,distilled (H-opt-0),$86$M,"$6{,}093$",$43$M,card,$1536$,vision-only,\textbf{TCGA (distilled)},True,yes,TCGA (distilled from \code{H-optimus-0}),dag,tcga,H0-mini,8,,,filiot2025plism,,,,hoptimus,2,13,,,,
Prov-GigaPath,tile,10,DINOv2,$1.1$B,$171$k,$1.3$B,card,$1536$,vision-only,Providence (prop.),False,no,Providence,,,Prov-GigaPath,17,,,Xu2024-gj,,,,gigapath,0,14,,,,
