model,panel,panel_order,method,params,n_wsis,n_tiles,wsis_source,dim,regime,corpus,tcga_exposed,disclosed,disclosed_sources,source_marker,corpus_domains,prov_group,prov_order,prov_cell_override,prov_cell_markers,cite
Virchow2,tile,1,DINOv2,$632$M,$3.1$M,$1.9$B,card,$2560$,vision-only,MSKCC (prop.),False,no,MSKCC,,,"Virchow, Virchow2",15,,,zimmermann2024
Virchow,tile,2,DINOv2,$632$M,$1.5$M,$2$B,card,$2560$,vision-only,MSKCC (prop.),False,no,MSKCC,,,"Virchow, Virchow2",15,,,Vorontsov2024-te
UNI2-h,tile,3,DINOv2,$681$M,${>}350$k,${>}200$M,card,$1536$,vision-only,MGB (prop.),False,no,Mass General Brigham,,,"UNI, UNI2-h",14,,,uni2h
UNI,tile,4,DINOv2,$307$M,$100$k,$100$M,card,$1024$,vision-only,MGB (prop.),False,no,Mass General Brigham,,,"UNI, UNI2-h",14,,,Chen2024-dy
CONCHv1.5,tile,5,vision--language,$307$M,$100$k,$100$M,card,$768$,VLFM,PMC-OA + educational,False,yes,none (PMC-OA + educational),ddag,,CONCHv1.5,5,,,titan
CONCH,tile,6,vision--language,$86$M,$21.4$k,$16$M,card,$512$,VLFM,PMC-OA + educational,False,yes,none (PMC-OA + educational),,,CONCH,4,,,conch
H-optimus-1,tile,7,n/d,$1.1$B,${>}1$M,n/d,card,$1536$,vision-only,Bioptimus (prop.),False,no,Bioptimus,,,H-optimus-0/1,16,,,hoptimus1
H-optimus-0,tile,8,DINOv2,$1.1$B,$500$K,$273$M,card,$1536$,vision-only,Bioptimus (prop.),False,no,Bioptimus,,,H-optimus-0/1,16,,,hoptimus0
H0-mini,tile,9,distilled (H-opt-0),$86$M,"$6{,}093$",$43$M,card,$1536$,vision-only,\textbf{TCGA (distilled)},True,yes,TCGA (distilled from \code{H-optimus-0}),dag,tcga,H0-mini,8,,,filiot2025plism
Prov-GigaPath,tile,10,DINOv2,$1.1$B,$171$k,$1.3$B,card,$1536$,vision-only,Providence (prop.),False,no,Providence,,,Prov-GigaPath,17,,,Xu2024-gj
Midnight-12k,tile,11,DINOv2 (var.),$1.1$B,$12$k,$384$M,card,$3072$,vision-only,\textbf{TCGA (public)},True,yes,TCGA only,,tcga,Midnight-12k,1,,,midnight
Prost40M,tile,12,DINO,$22$M,$2$k,${\sim}40$M,card,$384$,vision-only,\textbf{TCGA-PRAD + LEOPARD},True,yes,TCGA-PRAD + LEOPARD/RUMC (prostate),,,Prost40M,6,ID:sec|ID:sec|ID:sec|ID:,,grisi2026bcr
Phikon,tile,13,iBOT,$86$M,$6$k,$43.3$M,card,$768$,vision-only,\textbf{TCGA (public)},True,yes,TCGA only,,tcga,Phikon,2,,,phikon
Phikon-v2,tile,14,DINOv2,$307$M,${\sim}58$k,${\sim}456$M,card,$1024$,vision-only,\textbf{PanCancer-XL (incl.\ TCGA)},True,yes,"TCGA, CPTAC, GTEx",,tcga,Phikon-v2,3,,,phikonv2
Hibou-L,tile,15,DINOv2,$307$M,${>}1$M,$1.2$B,card,$1024$,vision-only,HistAI (prop.),False,no,HistAI,,,"Hibou-L, Hibou-B",18,,,hibou
Hibou-B,tile,16,DINOv2,$86$M,${>}1$M,$512$M,card,$768$,vision-only,HistAI (prop.),False,no,HistAI,,,"Hibou-L, Hibou-B",18,,,hibou
mSTAR,tile,17,distilled (UNI),$307$M,"$11{,}765$",${>}116$M,card,$1024$,vision-only,\textbf{TCGA (self-taught)},True,yes,"TCGA (WSIs, reports, RNA-Seq)",,tcga,mSTAR,9,,,mstar
GPFM,tile,18,distilled (multi-expert),$307$M,"$72{,}280$",$190$M,card,$1024$,vision-only,"\textbf{33 public (TCGA, CAMELYON)}",True,yes,"33 public datasets (TCGA, CPTAC, GTEx, CAMELYON16/17, PANDA, \ldots)",,tcga;camelyon;panda,GPFM,10,,Camelyon:par;PANDA:par,gpfm
MUSK,tile,19,vision--language,$307$M,${\sim}33$k,$50$M,card,$2048$,VLFM,\textbf{TCGA $+$ PMC-OA $+$ Quilt-1M},True,yes,TCGA (images); PubMed Central OA (text); Quilt-1M $+$ PathAsst (pairs),,tcga,MUSK,11,,,musk
GenBio-PathFM,tile,20,JEDI (DINO$+$JEPA),$1.13$B,${\sim}177$k,${\sim}400$M,card,$4608$,vision-only,\textbf{HistAI $+$ TCGA $+$ GTEx $+$ REG},True,yes,"HistAI, TCGA, GTEx, REG challenge",,tcga,GenBio-PathFM,12,,,genbiopathfm
DINOv2-B,tile,21,DINOv2,$86$M,n/a,n/a,card,$768$,vision-only,LVD-142M (natural images),False,yes,"LVD-142M: ImageNet-22k/1k, Google Landmarks $+$ web-crawl retrieval",,,DINOv2-B,13,,,oquab2024
PRISM,slide,1,Perceiver,$99$M$^{\ast}$,$587$k,n/d,card,$1280$,vision-only,Paige (prop.),False,no,Paige,,,PRISM,19,,,prism
TITAN,slide,2,CoCa,$48.5$M,$336$k,n/d,card,$768$,VLFM,MGB (prop.),False,no,Mass General Brigham,,,TITAN,20,,,titan
Prov-GigaPath,slide,3,LongNet,$86.3$M$^{\ast}$,$171$k,$1.3$B,card,$768$,vision-only,Providence (prop.),False,no,Providence,,,Prov-GigaPath,17,,,Xu2024-gj
MOOZY,slide,4,grid ViT,$85.8$M$^{\ddagger}$,$77$k$^{\ddagger}$,$1.7$B,card,$768$,vision-only,"\textbf{56 public (TCGA, PANDA)}",True,yes,"TCGA, CPTAC, CAMELYON17, PANDA ($56$ public sets)",,tcga;camelyon;panda,MOOZY,7,,PANDA:par,moozy
